"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"76ld663z2ng4c54","MGI:107794","Zfp69","C57BL","Early adult","IMPC_CSD_062_001","Skin texture - whole body",0.2120988
"76lhia18ff95h03","MGI:1859214","Pmm2","C57BL","Early adult","IMPC_IPG_010_001","Fasted blood glucose concentration",0.964655
"76ln3935126w280","MGI:2448562","Adnp2","C57BL","Late adult","IMPC_GEL_063_001","Delayed embryonic development",0.2960022
"76m1298ui24u6g7","MGI:1859607","Praf2","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.229474
"76n221diel734uv","MGI:2136381","Hadhb","C57BL","E18.5","ESLIM_011_001_008","PP2 + pulse startle magnitude",0.3510615
"76n94x89cf262j6","MGI:1923356","Kdm3b","C57BL","E18.5","IMPC_GEO_069_001","Delayed embryonic development",0.2251169
"76of5p08f00b14u","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_CSD_039_001","Limb grasp",0.5622057
"76or72563zb2bsy","MGI:2448562","Adnp2","C57BL","Early adult","CCP_XRY_060_001","Transitional vertebrae",0.4681921
"76p32vk3i1132gn","MGI:2385295","Sez6l2","C57BL","Early adult","M-G-P_004_001_001","Body Weight",0.6777183
"76stc3w877dv2wc","MGI:2444418","Scara3","C57BL","Early adult","IMPC_HEM_033_001","Monocyte differential count",0.2269885
"76tp9207a3nd811","MGI:2182543","Grhl2","C57BL","Early adult","IMPC_CBC_023_001","Alpha-amylase",0.7930631
"76v2fty10664d7f","MGI:1913521","Tmem126a","C57BL","Early adult","UCD_OWT_008_001","Liver weight",0.6729043
"76v6g1a5na311ix","MGI:1194883","Crx","C57BL","Early adult","IMPC_HEM_032_001","Lymphocyte cell count",0.8426024
"76w0289541qa5lp","MGI:105095","Pgf","C57BL","Early adult","IMPC_GEO_062_001","Abdominal wall",0.6652131
"76w4bmi0u1j5008","MGI:1923356","Kdm3b","C57BL","Early adult","M-G-P_025_001_008","Albumin",0.166102
"76x99cg835cd799","MGI:96412","Ide","129SV","Early adult","M-G-P_026_001_012","Incisor",0.3279819
"76y46q8k58fu642","MGI:1916625","Btbd9","C57BL","Early adult","IMPC_GEO_069_001","Delayed embryonic development",0.3106653
"76y6468y6mqp3pz","MGI:96546","Il1r2","C57BL","Early adult","JAX_LDT_004_001","Dark side time spent",0.6626713
"76y8py2272s4n72","MGI:2675296","Crebzf","C57BL","Early adult","ESLIM_011_001_703","Prepulse inhibition - PP3",0.1518096
"76y8ue83rqgkd9r","MGI:1915087","Tiprl","C57BL","E12.5","ESLIM_011_001_006","110dB startle magnitude",0.4011736
"76ygq5m6506zn3m","MGI:1918234","4931406C07Rik","C57BL","Early adult","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.8582618
"76z7nx6bsw18lp2","MGI:2679719","Armc7","C57BL","Early adult","IMPC_ACS_006_001","Response amplitude - S",0.1345503
"76z918cr5511854","MGI:1891427","Fgf23","C57BL","Early adult","IMPC_GEL_028_001","Forebrain",0.1693859
"76zgf6493735bps","MGI:2154240","Plxnb3","C57BL","Early adult","IMPC_GEL_061_001","Optic vesicle morphology",0.5726787
"77034y59vm8681o","MGI:98495","Tbx3","C57BL","E9.5","IMPC_CSD_002_001","Tail - length",0.7926523
"770920xh9u7029a","MGI:1925212","Scaf8","C57BL","E18.5","impc_cbc_015_001","Total cholesterol",0.3063168
"770y020rwrnllk2","MGI:1859214","Pmm2","C57BL","Early adult","IMPC_GEO_063_001","Craniofacial morphology",0.4011994
"77199c4as69px79","MGI:1921501","Ankrd9","C57BL","Early adult","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.8920325
"7719hme8y117788","MGI:1920963","Rbm20","C57BL","Early adult","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.05768928
"7723ex9qhjuh548","MGI:1915956","Rgp1","C57BL","Early adult","CCP_XRY_025_001","Tibia",0.6273562
"7725218qpd8d27o","MGI:1341881","Syngr3","C57BL","Late adult","IMPC_XRY_033_001","Tibia length",0.3563392
"772nf0t5w9h0bj4","MGI:1195272","Eda","C57BL","Early adult","ESLIM_008_001_003","Defecation",0.1531963
"77322t688v77cch","MGI:1920963","Rbm20","C57BL","Early adult","IMPC_DXA_004_001","Bone Mineral Density (excluding skull)",0.6299147
"77324mwxqtk79d5","MGI:1919095","Erich3","C57BL","Early adult","IMPC_GEL_060_001","Neural tube morphology",0.1849459
"7732ih396yi83kl","MGI:2684931","Tbc1d31","C57BL","Early adult","IMPC_ECH_005_001","Fractional Shortening",0.9801714
"773g0267p1k9e2l","MGI:105089","Hsd17b4","C57BL","Late adult","IMPC_CBC_001_001","Sodium",0.4223397
"773j32hqnqgo4rr","MGI:1925212","Scaf8","C57BL","E9.5","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.3866041
"773p7bs501t3v7u","MGI:1101778","Bmx","C57BL","Early adult","JAX_LDT_001_001","Side changes",0.9012395
"773vck3t2r33467","MGI:1195272","Eda","C57BL","Early adult","IMPC_GEL_028_001","Forebrain",0.6948687
"774828t6o02h014","MGI:2679719","Armc7","C57BL","Early adult","IMPC_DXA_003_001","Lean mass",0.3711951
"7749ka86bp75lu9","MGI:97312","Nfkb1","129SV","Early adult","ESLIM_011_001_702","Prepulse inhibition - PP2",0.7434311
"774d3l4j1tx569r","MGI:2682952","Prdm10","C57BL","Early adult","JAX_OFD_022_001","Percentage center time",0.3074605
"774u2ht6x9d4e5f","MGI:1859214","Pmm2","C58BL","Early adult","JAX_OFD_012_001","Periphery permanence time",0.8786441
"775053tk5yx2m7w","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_GEL_061_001","Optic vesicle morphology",0.1982605
"7755we45vj6ve1b","MGI:2148802","Sec16b","C57BL","Early adult","IMPC_GEP_017_001","Facial Morphology",0.154848
"7756e08k30wz970","MGI:1891427","Fgf23","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.3823089
"775824019i1m4wt","MGI:2442920","Rab11fip4","C57BL","Early adult","ESLIM_011_001_007","PP1 + pulse startle magnitude",0.8975573
"775j147209j934a","MGI:107247","Adam7","C57BL","Early adult","IMPC_CSD_079_001","Aggression",0.7400083
"775tg7ppq78ngv7","MGI:1913721","Anp32e","C57BL","Early adult","M-G-P_025_001_015","Alkaline phosphatase",0.6736662
"775tl4k0a0459g5","MGI:2443235","Rimbp2","C57BL","Early adult","IMPC_IPG_012_001","Area under glucose response curve",0.6823546
"775uj6oght18wyz","MGI:105095","Pgf","C57BL","Early adult","CCP_LDT_005_001","Time mobile dark side",0.7603182
"77602x52s968qcm","MGI:1101778","Bmx","C57BL","Early adult","IMPC_ABR_010_001","24kHz-evoked ABR Threshold",0.6030401
"7763932bu2l4lv5","MGI:2147679","Patl1","C57BL","Early adult","ESLIM_011_001_703","Prepulse inhibition - PP3",0.3600704
"776t1b7k57nm4ex","MGI:1918234","4931406C07Rik","C57BL","Early adult","IMPC_CSD_027_001","Ears",0.7506875
"7771br9z7456861","MGI:97312","Nfkb1","129SV","Early adult","M-G-P_005_001_001","Weight",0.1123385
"777k409k66245d9","MGI:2140300","Myorg","C57BL","Early adult","IMPC_EYE_023_001","Optic Disc",0.2464595
"777kjfes15p7apb","MGI:1918529","Slc29a3","C57BL","Early adult","IMPC_CSD_014_001","Coat - hair texture / appearance - back",0.2955996
"777sh789w05vg07","MGI:2144989","Plekhh1","C57BL","Early adult","IMPC_GPO_002_001","Placenta Morphology",0.1745292
"777w7kiq018k5y6","MGI:1347249","Psg16","C57BL","Early adult","IMPC_OFD_017_001","Center average speed",0.7980235
"779166205031ti5","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_DXA_006_001","Body length",0.236598
"7791yzx17j3zkzn","MGI:1917212","Mettl18","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.3349359
"7792sndw629c87e","MGI:1916625","Btbd9","C57BL","Early adult","IMPC_CSD_032_001","Locomotor activity",0.6597991
"779497jt63emrx3","MGI:1921398","Cluh","C57BL","Early adult","IMPC_GEO_067_001","Syndactyly",0.4779845
"77960f2dbv7925l","MGI:2442920","Rab11fip4","C57BL","Early adult","JAX_LDT_004_001","Dark side time spent",0.4865649
"77969j803tl6htw","MGI:2448562","Adnp2","C57BL","Late adult","IMPC_CBC_008_001","Total bilirubin",0.3657788
"7797vxg581w8909","MGI:98495","Tbx3","C57BL","E9.5","IMPC_EYE_056_001","Mean left eye lens density",0.7308946
"779ii69s8d34859","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_EYE_059_001","Mean right eye lens density",0.7507485
"77bk89q181sg465","MGI:1931028","Recql4","C57BL","E9.5","ESLIM_011_001_006","110dB startle magnitude",0.05430323
"77br35u413053w4","MGI:105080","Tgoln1","C57BL","Early adult","ESLIM_011_001_703","Prepulse inhibition - PP3",0.4537708
"77cg5g7o90338s4","MGI:2182543","Grhl2","C57BL","E9.5","ESLIM_011_001_002","PP1 startle magnitude",0.2349404
"77cu726q8c704zc","MGI:2147134","Fbxo11","C57BL","Early adult","IMPC_CBC_009_001","Calcium",0.2350305
"77d6dz747v3z23c","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_GEL_060_001","Neural tube morphology",0.5995346
"77dwk0wmf9llv17","MGI:2147134","Fbxo11","C57BL","E15.5","IMPC_CBC_016_001","HDL-cholesterol",0.7738978
"77g455pt0oq8i0x","MGI:107247","Adam7","C57BL","Early adult","IMPC_ECG_002_001","HR",0.6734983
"77gm6i9wph0gckk","MGI:1298378","Dhcr7","C57BL","E15.5","ESLIM_011_001_006","110dB startle magnitude",0.2537993
"77h1tpyp57qudzq","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_ECG_004_001","RR",0.2180378
"77h57jyrqec7f1s","MGI:1923896","Wdr38","C57BL","Early adult","M-G-P_016_001_001","White blood cell-count",0.6734596
"77i2q2bphq0dqyr","MGI:1916625","Btbd9","C57BL","Early adult","IMPC_GEO_069_001","Delayed embryonic development",0.6926256
"77j620605d8jx2h","MGI:1931028","Recql4","C57BL","Early adult","IMPC_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.5850071
"77jz82r0f9yf1v1","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_HEM_019_001","Mean platelet volume",0.8786968
"77k1n8279r6299l","MGI:1918234","4931406C07Rik","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.0514784
"77k50os7o79dj7g","MGI:105080","Tgoln1","C57BL","Early adult","ESLIM_011_001_704","Prepulse inhibition - PP4",0.9888538
"77k582m3l82myew","MGI:2136381","Hadhb","C57BL","Early adult","IMPC_EYE_010_001","Iris/Pupil",0.9537187
"77k82mjic183e2f","MGI:2448562","Adnp2","C57BL","Early adult","IMPC_GEL_027_001","Neural tube closure",0.3996632
"77kqc2i7692cqdq","MGI:1925212","Scaf8","C57BL","Early adult","IMPC_EYE_024_001","Retinal Blood Vessels",0.8566357
"77kt2v8uv75ht97","MGI:1195272","Eda","C57BL","Early adult","IMPC_CSD_007_001","Coat - color - abdomen",0.6603201
"77let0twp5j8cit","MGI:1858419","Bysl","C57BL","Early adult","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.4331079
"77n114323kwf8j0","MGI:96193","Hoxc11","C57BL","Early adult","IMPC_GEP_017_001","Facial Morphology",0.1058346
"77nay24wdm15y32","MGI:1353657","Fgd3","C57BL","Early adult","JAX_HBD_001_001","Total holepokes",0.480487
"77p9n94414u9748","MGI:1341881","Syngr3","C57BL","Middle aged adult","M-G-P_007_001_003","Whole Arena - resting time",0.1578953
"77p9p7t4v9h1693","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_CBC_009_001","Calcium",0.5593076
"77psv2bqs2a875z","MGI:109339","Eya3","C57BL","Early adult","ESLIM_013_001_005","Left retina structure",0.7586814
"77q46x0b2b68ix6","MGI:1194883","Crx","C57BL","Early adult","IMPC_EYE_024_001","Retinal Blood Vessels",0.5526961
"77q77kt0915e568","MGI:2147679","Patl1","C57BL","E12.5","IMPC_DXA_003_001","Lean mass",0.2862063
"77qvra48gp8yv5b","MGI:1915087","Tiprl","C57BL","E9.5","IMPC_CBC_003_001","Chloride",0.2525211
"77r23v8ew50wmxt","MGI:105089","Hsd17b4","C57BL","Early adult","ESLIM_008_001_022","Vocalisation",0.3908472
"77rc880k8y0739u","MGI:1926187","Avl9","C57BL","Early adult","M-G-P_016_001_006","Mean-corpuscular-haemoglobin",0.9959523
"77rt3y17p998jlj","MGI:1918234","4931406C07Rik","C57BL","Early adult","IMPC_IPG_012_001","Area under glucose response curve",0.7434798
"77s906k86sx7ww7","MGI:1917345","Zfp512","C51BL","Early adult","IMPC_CSD_036_001","Startle response",0.1738955
"77t661q98l1jb3l","MGI:105089","Hsd17b4","C57BL","Middle aged adult","ESLIM_008_001_022","Vocalisation",0.8690001
"77u8pr5x56y89q7","MGI:1352752","Pde7b","C57BL","Early adult","IMPC_HEM_033_001","Monocyte differential count",0.5061729
"77up8268m8080q1","MGI:1925212","Scaf8","C57BL","Early adult","JAX_HBD_001_001","Total holepokes",0.7739497
"77uq8g1g5u6gpst","MGI:102793","Fstl1","C57BL","Early adult","IMPC_CBC_054_001","Magnesium",0.5652926
"77w8o49o9wih0gk","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_HEM_002_001","Red blood cell count",0.6688571
"77yin794w6k4tok","MGI:107247","Adam7","C57BL","Early adult","JAX_OFD_022_001","Percentage center time",0.7687709
"77z3j2g7tt347k6","MGI:1858419","Bysl","C57BL","Early adult","IMPC_DXA_008_001","Lean/Body weight",0.2266149
"77z7jn60112988h","MGI:98495","Tbx3","C57BL","E9.5","IMPC_EYE_092_002","Retina (combined)",0.1109625
"7801p0pviqpzmrp","MGI:1915814","Nufip2","C57BL","E9.5","JAX_LDT_002_001","Light side time spent",0.5619385
"7812cfi4he2jh38","MGI:1929492","Atl2","C57BL","Early adult","IMPC_GEP_030_002","Edema",0.1445907
"78135go2ddg044m","MGI:103556","Cxcl12","C57BL","E12.5","IMPC_CBC_009_001","Calcium",0.8371264
"7813pks652832a2","MGI:1919762","Sting1","C57BL","Early adult","IMPC_HEM_008_001","Platelet count",0.6833509
"7813u3560482884","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_CBC_005_001","Creatinine",0.2483761
"781rw3y6lrl3t3n","MGI:96412","Ide","129SV","Early adult","IMPC_EYE_069_001","Left inner nuclear layer",0.7148962
"781zzjun7npa757","MGI:1917212","Mettl18","C57BL","Early adult","IMPC_CBC_008_001","Total bilirubin",0.9913146
"7822591m0a62rj6","MGI:2159324","Cln6","C57BL","Early adult","IMPC_GEP_030_002","Edema",0.4561907
"782268n57938w14","MGI:103556","Cxcl12","C57BL","Early adult","IMPC_IPG_011_001","Initial response to glucose challenge",0.6762545
"78237182hv513hg","MGI:107247","Adam7","C57BL","Early adult","M-G-P_016_001_006","Mean-corpuscular-haemoglobin",0.843258
"78241m95966defg","MGI:1933155","Arl4d","129SV","Early adult","IMPC_OFD_017_001","Center average speed",0.7650364
"7838m75xe5p71z3","MGI:2676312","Abca12","C57BL","Early adult","IMPC_EYE_092_002","Retina (combined)",0.6008554
"783on57kvz8d5y8","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_CSD_030_001","Tremor",0.7297871
"783t71x2ybg4h49","MGI:1920963","Rbm20","C57BL","Early adult","ESLIM_013_001_009","Right retina structure",0.9924187
"7842lq6b5avhaz1","MGI:105080","Tgoln1","C57BL","Early adult","JAX_LDT_002_001","Light side time spent",0.3442817
"7845ojvao07v3u8","MGI:96546","Il1r2","C57BL","Early adult","JAX_LDT_004_001","Dark side time spent",0.6472787
"7848v8p01m4fkie","MGI:2685751","Tmem171","C57BL","Early adult","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.06360853
"78493vjuc3e0c39","MGI:1347249","Psg16","C57BL","Early adult","IMPC_HEM_008_001","Platelet count",0.4628421
"784b54eclkc543n","MGI:98495","Tbx3","C57BL","E9.5","IMPC_OFD_017_001","Center average speed",0.8951999
"784hj46pvbp8293","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_HEM_004_001","Hematocrit",0.801281
"784lqf9cnjg34gh","MGI:1859607","Praf2","C57BL","Early adult","JAX_LDT_002_001","Light side time spent",0.613519
"784to2za18lt9g4","MGI:1926187","Avl9","C57BL","Early adult","IMPC_DXA_009_001","Fat/Body weight",0.7750407
"7850q7u102bc0bl","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_EYE_056_001","Mean left eye lens density",0.8961666
"78523hv73iq646g","MGI:105095","Pgf","C57BL","Early adult","ESLIM_008_001_003","Defecation",0.1535079
"785856wg7p8433w","MGI:98495","Tbx3","C57BL","Early adult","ESLIM_015_001_015","Alkaline phosphatase",0.1549794
"785ue2n75go9y19","MGI:2679719","Armc7","C57BL","Early adult","ESLIM_016_001_008","Platelets count",0.9596333
"785x2989s8onf99","MGI:102793","Fstl1","C57BL","Early adult","IMPC_EYE_010_001","Iris/Pupil",0.6031904
"7860342o4v18h2y","MGI:1917345","Zfp512","C57BL","Early adult","eslim_013_001_009","Right retina structure",0.3786351
"78673r2845180fu","MGI:103556","Cxcl12","C57BL","E12.5","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.7299588
"78688c4ejpg0ezb","MGI:1921398","Cluh","C57BL","Early adult","IMPC_GEO_069_001","Delayed embryonic development",0.9488951
"786914f4666414l","MGI:1916690","Dennd6b","C57BL","Early adult","JAX_OFD_022_001","Percentage center time",0.1796456
"786bw1v63b002rf","MGI:2441671","Hcar1","C57BL","Early adult","IMPC_HEM_001_001","White blood cell count",0.5977337
"787560a9qr9d2bb","MGI:105089","Hsd17b4","C57BL","Early adult","IMPC_ECG_004_001","RR",0.8759629
"78793599hq2luo9","MGI:2385295","Sez6l2","C57BL","Early adult","IMPC_CBC_023_001","Alpha-amylase",0.9916619
"7879umooqcam41t","MGI:1098779","Cdk2ap2","C57BL","Early adult","ESLIM_008_001_003","Defecation",0.7245157
"787lai8aa4ft914","MGI:1931028","Recql4","C57BL","E9.5","UCD_OWT_003_001","Spleen weight",0.1078568
"7886gcuk40587tv","MGI:2679719","Armc7","C57BL","Early adult","IMPC_HEM_004_001","Hematocrit",0.6905909
"78874p61b2b4080","MGI:98495","Tbx3","C57BL","Early adult","IMPC_HEM_002_001","Red blood cell count",0.7822503
"788p3d5994iwpae","MGI:2679719","Armc7","C57BL","Early adult","IMPC_FEA_003_001","Conditioning Baseline % Freezing Time",0.2336063
"7894898649g4h6u","MGI:2448562","Adnp2","C57BL","Early adult","HRWL_OWT_001_001","Spleen weight",0.8787925
"78976xg6t998627","MGI:2147134","Fbxo11","C57BL","E15.5","ESLIM_011_001_008","PP2 + pulse startle magnitude",0.05037712
"7898k9xf42i8q43","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_CSD_079_001","Aggression",0.9563898
"789gc66vu6slhk3","MGI:2138334","Dgkd","C57BL","Early adult","IMPC_HEM_019_001","Mean platelet volume",0.469423
"789vkj2nb8q0463","MGI:1921501","Ankrd9","C57BL","Early adult","M-G-P_014_001_006","cornea",0.3499816
"789zk1j859gu3u5","MGI:2443664","Rreb1","C57BL","Early adult","JAX_OFD_021_001","Number of rears - total",0.9279967
"78ap6qh63slts3x","MGI:102793","Fstl1","C57BL","Early adult","IMPC_GEO_063_001","Craniofacial morphology",0.731008
"78cu9384uf1e6v5","MGI:1921501","Ankrd9","C57BL","Early adult","JAX_OFD_016_001","Center permanence time",0.8008596
"78e440b7734l325","MGI:2676312","Abca12","C57BL","Early adult","M-G-P_004_001_001","Body Weight",0.4334513
"78ev9f301926123","MGI:2676312","Abca12","C57BL","E18.5","IMPC_CBC_054_001","Magnesium",0.2653555
"78f8unm2xxc48e6","MGI:2685948","Irgc","C57BL","Early adult","IMPC_EYE_092_001","Retina (combined)",0.7461301
"78g80t0872f1nuy","MGI:98495","Tbx3","C57BL","Early adult","IMPC_CSD_036_001","Startle response",0.914975
"78h2i0n49148sq0","MGI:96546","Il1r2","C57BL","Early adult","IMPC_CSD_007_001","Coat - color - abdomen",0.9177631
"78hm337vg70803a","MGI:1919618","Borcs8","C57BL","Early adult","IMPC_IPG_012_001","Area under glucose response curve",0.5335082
"78i2a3n5oq6a8j1","MGI:2140300","Myorg","C57BL","Early adult","IMPC_GEO_069_001","Delayed embryonic development",0.5295307
"78i3870b5n5rw8q","MGI:2147679","Patl1","C57BL","E12.5","IMPC_CBC_003_001","Chloride",0.5207957
"78in240k5sm045a","MGI:107794","Zfp69","C57BL","Early adult","CCP_XRY_012_001","Pelvis",0.5604721
"78j501d69707502","MGI:1918248","Phf6","C57BL","Early adult","GMC_916_001_008","Latency familiar object exploration",0.7962982
"78j627md9sj5gu7","MGI:1913721","Anp32e","C57BL","Early adult","CCP_XRY_012_001","Pelvis",0.7766358
"78j8x5sb79fx2ru","MGI:1917345","Zfp512","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.8325006
"78k1275s92w2555","MGI:1859607","Praf2","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.4286487
"78k46b02r7bk63t","MGI:98495","Tbx3","C57BL","Early adult","IMPC_CBC_011_001","Iron",0.7734999
"78k9xl1a15l2vls","MGI:1347249","Psg16","C57BL","Early adult","ESLIM_008_001_022","Vocalisation",0.4541239
"78kd54dvs4brl2r","MGI:103556","Cxcl12","C57BL","Early adult","hrwl_owt_001_001","Spleen weight",0.5424033
"78ljya64e5h1267","MGI:98495","Tbx3","C57BL","E9.5","IMPC_GEL_027_001","Neural tube closure",0.3964266
"78m5f007c48s000","MGI:105095","Pgf","C57BL","Early adult","IMPC_GEL_060_001","Neural tube morphology",0.8536095
"78m9354e077p4mk","MGI:2676312","Abca12","C57BL","Early adult","IMPC_CBC_025_001","LDL-cholesterol",0.867301
"78mkzn93ds629q7","MGI:2675296","Crebzf","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.4731311
"78n150p511k3097","MGI:2159324","Cln6","C57BL","Early adult","IMPC_EYE_083_001","Vitreous",0.1309398
"78n8zvllg10b5pt","MGI:2444418","Scara3","C57BL","Early adult","impc_gpo_002_001","Placenta Morphology",0.6309876
"78o46w290cb8626","MGI:2448562","Adnp2","C57BL","Early adult","M-G-P_016_001_001","White blood cell-count",0.4501377
"78o7wcija9c37x4","MGI:107794","Zfp69","C57BL","Early adult","IMPC_DXA_006_001","Body length",0.7502253
"78oo9r85cib9eq6","MGI:1859214","Pmm2","C57BL","E9.5","IMPC_OFD_007_001","Whole arena resting time",0.8625652
"78p6t7du271g3g6","MGI:2140300","Myorg","C57BL","Early adult","IMPC_CBC_013_001","Alanine aminotransferase",0.1651299
"78q8j91rtz5919n","MGI:2444156","Rccd1","C57BL","Early adult","M-G-P_026_001_005","Coat texture",0.1078723
"78qp8xnyf35we85","MGI:1929492","Atl2","C57BL","Early adult","IMPC_GEP_017_001","Facial Morphology",0.7929448
"78s1b4m09832cu2","MGI:1858419","Bysl","C57BL","Early adult","IMPC_EYE_069_001","Left inner nuclear layer",0.2136108
"78s1em5dra0tg4y","MGI:2385295","Sez6l2","C57BL","Early adult","ESLIM_008_001_008","Locomotor activity",0.729983
"78s25y1u09q9050","MGI:2138334","Dgkd","C57BL","Early adult","IMPC_DXA_008_001","Lean/Body weight",0.8008912
"78sbt64eyz4a2r2","MGI:1922422","Ccdc146","C57BL","Early adult","IMPC_GEP_022_001","Embryo Size",0.1697394
"78u1a14054798sk","MGI:105089","Hsd17b4","C57BL","Late adult","M-G-P_005_001_006","Body Length",0.4104873
"78ua4840yzh7415","MGI:1925212","Scaf8","C57BL","Early adult","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.09480231
"78v3vko9jpan5p8","MGI:96412","IDE","129SV","Early adult","IMPC_CSD_032_001","Locomotor activity",0.6281308
"78vugz6l603441p","MGI:2385295","Sez6l2","C57BL","Early adult","IMPC_CSD_012_001","Coat - hair distribution - head",0.7866321
"78w8j04804sm123","MGI:2385295","Sez6l2","C57BL","Early adult","TCPLA_CSD_032_001","Locomotor activity",0.9974649
"78xe052ge08m736","MGI:2147679","Patl1","C57BL","Early adult","IMPC_CBC_009_001","Calcium",0.6790945
"78y434uq1i9990n","MGI:2443235","Rimbp2","C57BL","Early adult","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.6685965
"78ykipzwxcvb0ri","MGI:1858419","Bysl","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.4938099
"78yl7n547b30ro6","MGI:2443664","Rreb1","C57BL","Early adult","IMPC_HEM_019_001","Mean platelet volume",0.3678793
"7902942f9h69f14","MGI:2675296","Crebzf","C57BL","Early adult","ESLIM_008_001_008","Locomotor activity",0.7716903
"7903p3g8i620v9j","MGI:1914961","Nsmce1","C57BL","Early adult","IMPC_EYE_006_001","Narrow eye opening",0.826471
"7905mtcf9lh0b60","MGI:1919618","Borcs8","C57BL","Early adult","ESLIM_011_001_010","PP4 + pulse startle magnitude",0.2552056
"79084o5221pin06","MGI:96194","Hoxc12","C57BL","Early adult","IMPC_HEM_033_001","Monocyte differential count",0.6924377
"790a3pa80lgeyoc","MGI:1919618","Borcs8","C57BL","E12.5","IMPC_CBC_021_001","Lipase",0.349545
"790c56du3c9uw1l","MGI:98495","Tbx3","C57BL","Early adult","IMPC_CBC_017_001","Triglycerides",0.7009906
"791204h888a5rfh","MGI:1931028","Recql4","C57BL","E12.5","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.4524881
"7913e5q74r4h413","MGI:1915814","Nufip2","C57BL","Early adult","IMPC_CBC_023_001","Alpha-amylase",0.9434603
"79164rsb0z653v5","MGI:1931028","Recql4","C57BL","E12.5","impc_geo_011_001","Blood Vessel Morphology",0.9594837
"79197ur156114ra","MGI:97312","Nfkb1","129SV","Early adult","CCP_XRY_012_001","Pelvis",0.8483746
"791983lth0q3cs4","MGI:2448562","Adnp2","C57BL","Middle aged adult","ESLIM_011_001_703","Prepulse inhibition - PP3",0.08565406
"791ct5723x3z34z","MGI:1298378","Dhcr7","C57BL","E15.5","IMPC_IPG_011_001","Initial response to glucose challenge",0.1538717
"791x36n69ord7zw","MGI:2448562","Adnp2","C57BL","Late adult","JAX_LDT_002_001","Light side time spent",0.36076
"7921a8envsy325u","MGI:1933155","Arl4d","C57BL","Early adult","IMPC_EYE_003_001","Eye Hemorrhage or Blood Presence",0.9375293
"792357489m77805","MGI:894318","Cdk14","C57BL","Early adult","MGP_IMM_071_001","Total CD4+ T cells - % of CD45+",0.2892947
"792557p2r6i6j4v","MGI:2442920","Rab11fip4","C57BL","Early adult","JAX_PLC_001_001","Total cholesterol",0.4548815
"7926s4wzeu7533h","MGI:2448562","Adnp2","C57BL","Late adult","CCP_LDT_005_001","Time mobile dark side",0.9860473
"792785ohl7g9192","MGI:2448562","Adnp2","C57BL","Middle aged adult","IMPC_FEA_015_001","Cue Baseline % Freezing Time",0.1782441
"792fi48k4d010o0","MGI:1917212","Mettl18","C57BL","Early adult","IMPC_ECG_031_001","Abnormal ECG detected",0.6189679
"792k99g7762m7va","MGI:1891427","Fgf23","C57BL","Early adult","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.895453
"7936y2sdk7af430","MGI:1928271","Malrd1","C57BL","Early adult","IMPC_ECH_004_001","Ejection Fraction",0.1144724
"7938p7j1jp4y2k6","MGI:1298378","Dhcr7","C57BL","Early adult","JAX_LDT_002_001","Light side time spent",0.7523795
"793ifla3nq3qm9k","MGI:1195272","Eda","C57BL","Early adult","IMPC_GEO_011_001","Blood Vessel Morphology",0.1578577
